,出现次数,召回率,查准率,f1-score
nike-沙滩裤,11.0,1.0,0.7857,0.88
burberry-墨镜,11.0,1.0,0.9167,0.9565
louis_vuitton-石英表,10.0,1.0,0.7692,0.8696
bottega_veneta-单肩包,10.0,0.2,1.0,0.3333
new_balance-休闲鞋,10.0,1.0,0.4,0.5714
adidas-凉鞋,10.0,0.6,0.5,0.5455
minnie_mouse-短袖T恤,10.0,0.0,0.0,0.0
adidas-男士内裤,10.0,1.0,1.0,1.0
christian_dior-时尚/休闲套装,10.0,0.8,1.0,0.8889
armani-机械表,10.0,1.0,0.7692,0.8696
bottega_veneta-拎包/手提包,10.0,0.0,0.0,0.0
puma-无模特套装,10.0,1.0,1.0,1.0
nike-连体短裤,10.0,1.0,0.9091,0.9524
longines-石英表,10.0,1.0,0.8333,0.9091
friends-马克杯,10.0,0.0,0.0,0.0
pokemon-其它手办,10.0,0.9,1.0,0.9474
givenchy-短袖T恤,10.0,1.0,1.0,1.0
van_cleef_arpels-耳钉,10.0,0.7,0.875,0.7778
skechers-休闲鞋,10.0,0.7,1.0,0.8235
versace-耳环,10.0,1.0,0.1562,0.2703
adidas-套装（不包含爬服类）,10.0,0.9,0.75,0.8182
casio-石英表,10.0,0.5,1.0,0.6667
adidas-休闲长裤,10.0,1.0,0.9091,0.9524
hublot-机械表,10.0,1.0,1.0,1.0
burberry-休闲短裤,10.0,1.0,1.0,1.0
golden_goose_deluxe_brand-休闲鞋,10.0,0.0,0.0,0.0
chanel-短袖T恤,10.0,0.9,0.5625,0.6923
valentino-单肩包,10.0,1.0,0.8333,0.9091
cartier-戒指/指环,10.0,0.2,0.6667,0.3077
panerai-机械表,10.0,1.0,1.0,1.0
adidas_y3-休闲鞋,10.0,0.0,0.0,0.0
michael_kors-女士背包,10.0,1.0,0.7143,0.8333
adidas-鸭舌帽,10.0,1.0,1.0,1.0
new_york_yankees-休闲鞋,10.0,1.0,0.1667,0.2857
giuseppe_zanotti-男式板鞋,9.0,1.0,1.0,1.0
chanel-高跟凉鞋,9.0,1.0,0.3333,0.5
van_cleef_arpels-手镯,9.0,0.8889,0.8889,0.8889
breitling-石英表,9.0,1.0,0.75,0.8571
givenchy-时尚/休闲套装,9.0,1.0,1.0,1.0
dsquared2-休闲鞋,9.0,1.0,1.0,1.0
stone_island-休闲长裤,9.0,0.3333,1.0,0.5
christian_dior-单肩包,9.0,1.0,0.5294,0.6923
chanel-无模特套装,9.0,1.0,0.9,0.9474
chanel-发箍,9.0,1.0,0.9,0.9474
celine-单肩包,9.0,1.0,0.6,0.75
dolce_gabbana-休闲鞋,9.0,0.6667,0.8571,0.75
christian_dior-男士跑步鞋,9.0,0.8889,0.5714,0.6957
under_armour-男士内裤,9.0,1.0,1.0,1.0
fendi-长袖衬衫,9.0,1.0,0.9,0.9474
tommy_hilfiger-休闲短裤,9.0,0.8889,1.0,0.9412
chanel-耳钉,9.0,1.0,0.6429,0.7826
the_north_face-短袖T恤,9.0,0.8889,1.0,0.9412
fendi-短袖衬衫,9.0,0.8889,1.0,0.9412
christian_dior-鸭舌帽,9.0,0.7778,0.875,0.8235
calvin_klein-休闲长裤,9.0,1.0,1.0,1.0
gucci-斜挎包,9.0,1.0,0.9,0.9474
louis_vuitton-休闲短裤,9.0,0.8889,1.0,0.9412
philipp_plein-牛仔长裤,9.0,0.8889,1.0,0.9412
gucci-女士背包,9.0,1.0,0.75,0.8571
karl_lagerfeld-苹果手机保护壳/套,9.0,0.0,0.0,0.0
hermes-时尚/休闲套装,9.0,0.7778,1.0,0.875
alexander_mcqueen-男式板鞋,9.0,0.8889,1.0,0.9412
gucci-欧美模特套装,9.0,1.0,0.45,0.6207
versace-项链,9.0,1.0,0.09,0.1651
gucci-短袖衬衫,9.0,1.0,0.9,0.9474
puma-男士跑步鞋,9.0,0.7778,0.28,0.4118
gucci-长袖衬衫,9.0,1.0,0.6923,0.8182
backwoods_smokes-短袖T恤,9.0,0.0,0.0,0.0
moncler-时尚/休闲套装,9.0,1.0,1.0,1.0
balenciaga-宽沿帽/太阳帽,9.0,1.0,1.0,1.0
off_white-男士跑步鞋,9.0,0.2222,0.1818,0.2
hello_kitty-苹果手机保护壳/套,9.0,1.0,0.8182,0.9
rolex-电子表,9.0,1.0,1.0,1.0
hermes-单肩包,9.0,0.3333,0.6,0.4286
ralph_lauren-短袖T恤,9.0,1.0,0.8182,0.9
hublot-石英表,9.0,1.0,0.9,0.9474
